year,month,temp,sd,nbr
1923,06,11.649999999999999,1.623230237672519,90
1923,07,16.5,3.2460883785828796,93
1923,08,14.3,1.4121252455819602,93
1923,09,12.5,1.4275901837831322,90
1923,10,10.6,1.4718950330483134,93
1923,11,5,4.024615272282264,90
1923,12,2.3,4.042369398092057,93
1924,01,-1.4,3.045707591982178,93
1924,02,-2.8,3.152574759294015,87
1924,03,-0.8,2.6433227598453093,93
1924,04,3,1.6235797596530501,90
1924,05,8.7,2.9799069989347218,93
1924,06,13.3,2.6869044792101375,90
1924,07,15.4,1.4707988244014485,93
1924,08,16.5,1.708960790823543,93
1924,09,14.2,2.1355267282315293,90
1924,10,10.5,2.839636308024556,93
1924,11,6.4,2.1007031698315504,90
1924,12,4.8,2.1595888999816135,93
1925,01,4.3,1.9939166481608495,93
1925,02,3.6,2.2169158772683915,84
1925,03,2.5,3.0879548524291103,93
1925,04,6.65,2.069636623976747,90
1925,05,12.5,2.650703594617298,93
1925,06,14.7,2.655919589129178,90
1925,07,19,3.2674045783805044,93
1925,08,17.5,1.7082671682417148,93
1925,09,13.2,1.4979757460754202,90
1925,10,9.3,3.1385730015738855,93
1925,11,3.75,3.464851152375071,90
1925,12,1.3,3.842791044378121,93
1926,01,1.8,2.4559889495741034,93
1926,02,1,2.1450887213562893,84
1926,03,2.7,1.9002620325698159,93
1926,04,6.4,2.1924057439983833,90
1926,05,10,2.9188466440788394,93
1926,06,14.95,2.104123530169328,90
1926,07,19,2.3166289125508586,93
1926,08,17.2,1.9298902535732023,93
1926,09,13.649999999999999,2.0248583125783095,90
1926,10,7.8,4.046861140005796,93
1926,11,7.35,2.5679891043285332,90
1926,12,2.1,2.9431551480237914,93
1927,01,3.1,1.7240387148831904,93
1927,02,1.2,2.380488193420248,84
1927,03,4.1,1.7659531315505232,93
1927,04,5.3,1.8058239116813133,90
1927,05,8.6,2.1743876527264234,93
1927,06,11.8,1.7447177279039787,90
1927,07,18.2,2.4600871906311057,93
1927,08,17.6,1.97731229409226,93
1927,09,14.3,2.2662766793830813,90
1927,10,9.8,2.0454929988215906,93
1927,11,2,4.548611619540432,90
1927,12,-1.5,3.4429586795920475,93
1928,01,1,1.6518346579668324,93
1928,02,1.2,1.6622030578763451,87
1928,03,1.4,2.408971078070254,93
1928,04,4.55,3.6465221232711067,90
1928,05,9.7,2.677894199656426,93
1928,06,12.4,1.7825933919429724,90
1928,07,15.2,2.240659798973476,93
1928,08,15.7,1.4716591788396274,93
1928,09,14.2,3.0195784362364675,90
1928,10,10.3,2.3422771552678734,93
1928,11,7.95,2.2144694976573804,90
1928,12,1.7,2.6234419005058207,93
1929,01,-2,2.1072122860578912,93
1929,02,-6.1,3.2746553645752177,84
1929,03,0.7,2.4942716044648474,93
1929,04,3,2.5348381594062417,90
1929,05,10.7,3.142610082394454,93
1929,06,12.4,2.353061596389796,90
1929,07,15.6,2.3596915036758235,93
1929,08,16.3,1.5742693489900976,93
1929,09,14.75,2.2471680055002166,90
1929,10,10.9,2.1412798687679375,93
1929,11,7,1.4231350457009069,90
1929,12,5.2,2.6608928259394524,93
1930,01,3.4,1.6314113640658443,93
1930,02,0.7,2.0905666741180187,84
1930,03,2.5,1.8580108452523276,93
1930,04,6.05,2.831010063127309,90
1930,05,11,2.678348070564536,93
1930,06,16.75,2.8761668641113705,90
1930,07,16.9,1.6165106222556527,93
1930,08,16.9,1.5001737471447276,93
1930,09,14,1.8743784654413744,90
1930,10,11,2.011252241110648,93
1930,11,7.25,2.4646922455285445,90
1930,12,3.6,2.191765476648524,93
1931,01,1.4,2.3742723596844706,93
1931,02,-0.25,2.1917028513032477,84
1931,03,-0.2,2.925975460990227,93
1931,04,3.9,1.8147213238252498,90
1931,05,11.5,2.7880807214635865,93
1931,06,13.6,2.1863339588853483,90
1931,07,16.2,1.8510020282670954,93
1931,08,16,2.351685160667593,93
1931,09,11.8,2.739486998277749,90
1931,10,9.9,3.560437907416252,93
1931,11,5.35,2.802579514497519,90
1931,12,2.2,2.7452717650623626,93
1932,01,3.2,1.7985371438692928,93
1932,02,1,2.732784318416113,87
1932,03,1,3.2441586301214222,93
1932,04,5.65,1.9799128595309012,90
1932,05,11.4,2.906560665831839,93
1932,06,14.45,2.2475243697809044,90
1932,07,18.8,2.3971513794205563,93
1932,08,18,1.8104406051195747,93
1932,09,14.4,2.0241257109879927,90
1932,10,9.7,2.3361020106195216,93
1932,11,5.55,2.0460052121975583,90
1932,12,4,2.2759402805923563,93
1933,01,-0.2,4.074789364911571,93
1933,02,1,2.776537579330057,84
1933,03,2.8,2.1872051327344955,93
1933,04,5.45,2.031926510314989,90
1933,05,10.4,2.840835432765198,93
1933,06,16.35,2.1181944705883264,90
1933,07,18.2,1.929495957939898,93
1933,08,17.8,1.7090968829217132,93
1933,09,15,2.4681564991648197,90
1933,10,11.2,2.5114497041834802,93
1933,11,5,2.383741485703027,90
1933,12,1.2,2.409946080766531,93
1934,01,2.4,1.7660828465422749,93
1934,02,3.3499999999999996,2.0092299926865484,84
1934,03,3.8,1.2394972513826454,93
1934,04,7.45,3.080303501754551,90
1934,05,11.8,2.577009331007382,93
1934,06,15.2,2.980801867833704,90
1934,07,19,2.4888874105329655,93
1934,08,17.5,1.7707145753979894,93
1934,09,16.5,2.011048136356157,90
1934,10,11.7,2.9392779451269453,93
1934,11,7.45,1.8127048508801686,90
1934,12,6.8,2.491149832804335,93
1935,01,1,2.8627159464388576,93
1935,02,2.6,2.7182715623832974,84
1935,03,2.6,3.0062386433446466,93
1935,04,6.2,3.5846461317872547,90
1935,05,10,4.010131803662936,93
1935,06,15.7,3.305558629442858,90
1935,07,17.8,2.5921519991909756,93
1935,08,16.7,1.8516970975803442,93
1935,09,14.55,2.2093346962942686,90
1935,10,11.2,3.249218627974981,93
1935,11,6.699999999999999,2.2454003477326716,90
1935,12,3,1.90927340058622,93
1936,01,3.4,1.3193067725064174,93
1936,02,0,2.471811139105178,87
1936,03,2,2.1441958795967024,93
1936,04,4.9,1.9535798952157704,90
1936,05,11.5,2.4671308143981685,93
1936,06,16.700000000000003,3.5733784725194124,90
1936,07,18,1.7460072664436574,93
1936,08,17,1.790761184370585,93
1936,09,14.2,2.8988268753813515,90
1936,10,9,2.247637583732615,93
